activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,549300HW662MN1WU8550,20940,CA,06025,06025011400,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,3,0,2,2,1,1,2,2,2,355000.0,95.89,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,365000,1,1,3,5,1,NA,67,50%-60%,1,9,1,11,,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,2,2,2,2,<25,45-54,No,No,2,1,1,,,,,1,,,,4476,96.98,65300,78,517,1178,49
2024,549300HW662MN1WU8550,20940,CA,06025,06025010700,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,3,0,2,2,1,1,2,2,2,225000.0,96.5,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,235000,1,1,3,5,1,NA,72,50%-60%,1,9,1,11,,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,Yes,No,2,1,1,,,,,1,,,,4713,96.48,65300,61,443,1088,33
2024,549300HW662MN1WU8550,20940,CA,06025,06025012001,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,3,0,2,1,31,1,2,2,2,335000.0,100,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,335000,1,1,3,5,1,NA,77,43,3,10,1,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,55-64,9999,No,NA,2,1,1,2,,,,4,,,,3801,99.08,65300,60,157,1235,47
2024,549300HW662MN1WU8550,20940,CA,06025,06025012302,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,3,0,2,2,1,1,2,2,2,205000.0,96.5,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,215000,1,1,3,5,1,NA,68,>60%,1,10,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,6,5,2,4,35-44,9999,No,NA,2,1,1,,,,,1,,,,6288,85.78,65300,79,2373,3472,22
2024,549300HW662MN1WU8550,20940,CA,06025,06025011700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,Joint,Male,3,0,2,1,1,1,2,2,2,345000.0,96.067,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,355000,1,1,3,5,1,NA,89,49,1,9,1,11,,,,2,,,,,2,2,5,,,,,2,,,,,2,2,1,1,2,2,25-34,65-74,No,Yes,2,1,1,,,,,4,,,,5046,91.22,65300,155,878,1201,46
2024,549300HW662MN1WU8550,20940,CA,06025,06025011301,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Male,3,0,2,2,1,1,2,2,2,395000.0,97.465,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,405000,1,1,3,5,1,NA,80,45,3,10,1,11,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,1,1,,,,,4,,,,3549,98.08,65300,82,714,1069,26
2024,549300HW662MN1WU8550,20940,CA,06025,06025011700,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,3,0,2,2,1,1,2,2,2,335000.0,96.377,NA,NA,3,NA,NA,NA,NA,NA,348,NA,NA,2,2,2,2,345000,1,1,3,5,1,NA,88,>60%,3,10,11,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,2,1,1,,,,,1,,,,5046,91.22,65300,155,878,1201,46
2024,549300HW662MN1WU8550,20940,CA,06025,06025011201,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,3,0,2,2,31,1,2,2,2,365000.0,101.714,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,355000,1,1,3,5,1,NA,94,47,1,10,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,1,,,,,4,,,,8254,87.28,65300,160,1314,2115,18
2024,549300HW662MN1WU8550,20940,CA,06025,06025011201,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,3,0,2,2,1,1,2,2,2,375000.0,96.5,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,385000,1,1,3,5,1,NA,94,50%-60%,9,3,1,11,,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,25-34,No,No,2,1,1,,,,,1,,,,8254,87.28,65300,160,1314,2115,18
2024,549300HW662MN1WU8550,20940,CA,06025,06025011201,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,3,0,2,1,1,1,2,2,2,395000.0,95,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,415000,1,1,3,5,1,NA,81,49,3,10,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,2,1,2,1,,,,6,,,,8254,87.28,65300,160,1314,2115,18
2024,549300HW662MN1WU8550,20940,CA,06025,06025012101,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,3,0,2,2,32,1,2,2,2,205000.0,80,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,255000,1,1,3,5,1,NA,93,<20%,3,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,1,1,,,,,9,,,,3563,97.5,65300,89,340,962,57
2024,549300HW662MN1WU8550,20940,CA,06025,06025010600,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,3,0,2,2,32,1,2,2,2,295000.0,86.686,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,335000,1,1,3,5,1,NA,101,50%-60%,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,NA,2,1,1,,,,,4,,,,7985,79.7,65300,166,1364,1857,32
2024,549300HW662MN1WU8550,20940,CA,06025,06025011002,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,2,31,1,2,2,2,475000.0,101.381,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,465000,1,1,3,5,1,NA,117,47,3,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,25-34,25-34,No,No,2,1,2,,,,,4,,,,9436,84.78,65300,175,1851,2591,28
2024,549300HW662MN1WU8550,20940,CA,06025,06025011903,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,3,0,2,2,1,1,2,2,2,495000.0,97.85,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,505000,1,1,3,5,1,NA,107,50%-60%,3,10,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,2,1,,,,,4,,,,5400,97.35,65300,140,857,1398,0
2024,549300HW662MN1WU8550,20940,CA,06025,06025011201,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,32,1,2,2,2,365000.0,72.4,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,505000,1,1,3,5,1,NA,121,39,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,2,1,,,,5,,,,8254,87.28,65300,160,1314,2115,18
2024,549300HW662MN1WU8550,20940,CA,06025,06025011802,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,1,1,2,2,2,235000.0,95,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,255000,1,1,3,5,1,NA,121,47,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,2,1,1,2,,,,5,,,,5245,88.48,65300,105,689,984,44
2024,549300HW662MN1WU8550,20940,CA,06025,06025011002,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,3,0,2,2,31,1,2,2,2,475000.0,95.898,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,495000,1,1,3,5,1,NA,114,47,3,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,1,2,2,2,25-34,25-34,No,No,2,1,1,2,,,,1,9,,,9436,84.78,65300,175,1851,2591,28
2024,549300HW662MN1WU8550,20940,CA,06025,06025011201,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,3,0,2,2,1,1,2,2,2,405000.0,96.5,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,415000,1,1,3,5,1,NA,97,>60%,3,10,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,2,1,1,,,,,1,,,,8254,87.28,65300,160,1314,2115,18
2024,549300HW662MN1WU8550,20940,CA,06025,06025010500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,3,0,2,1,31,1,2,2,2,145000.0,41.595,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,355000,1,2,3,5,1,NA,123,50%-60%,1,10,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,1,1,2,,,,1,,,,6714,88.64,65300,114,1056,1892,41
2024,549300HW662MN1WU8550,20940,CA,06025,06025011700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Joint,3,0,2,1,32,1,2,2,2,375000.0,80,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,475000,1,1,3,5,1,NA,156,20%-<30%,9,2,1,11,,,,1,11,,,,2,2,6,,,,,6,,,,,2,2,2,1,2,2,55-64,55-64,No,No,2,1,2,1,,,,5,,,,5046,91.22,65300,155,878,1201,46
2024,549300HW662MN1WU8550,20940,CA,06025,06025010401,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,3,0,2,2,1,1,2,2,2,315000.0,98.315,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,315000,1,1,3,5,1,NA,162,20%-<30%,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,2,2,1,,,,,4,,,,2748,96.22,65300,39,232,728,26
2024,549300HW662MN1WU8550,20940,CA,06025,06025011201,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,3,0,2,2,1,1,2,2,2,455000.0,94.402,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,475000,1,1,3,5,1,NA,141,>60%,3,9,1,11,,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,2,1,1,2,,,,1,,,,8254,87.28,65300,160,1314,2115,18
2024,549300HW662MN1WU8550,20940,CA,06025,06025011002,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Sex Not Available,3,0,2,2,1,1,2,2,2,395000.0,80,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,485000,1,1,3,5,1,NA,140,30%-<36%,2,10,1,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,35-44,9999,No,NA,2,1,1,,,,,4,,,,9436,84.78,65300,175,1851,2591,28
2024,549300HW662MN1WU8550,20940,CA,06025,06025011700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Race Not Available,Sex Not Available,3,0,2,1,1,1,2,2,2,335000.0,95,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,355000,1,1,3,5,1,NA,166,39,1,10,1,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,65-74,9999,Yes,NA,2,1,1,,,,,5,,,,5046,91.22,65300,155,878,1201,46
2024,549300HW662MN1WU8550,20940,CA,06025,06025011002,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,31,1,2,2,2,555000.0,99.793,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,555000,1,1,3,5,1,NA,247,43,1,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,25-34,25-34,No,No,2,2,1,2,,,,4,5,,,9436,84.78,65300,175,1851,2591,28
2024,549300HW662MN1WU8550,20940,CA,06025,06025011002,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,3,0,2,3,31,1,2,2,2,515000.0,98.077,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,525000,1,1,3,5,1,NA,NA,NA,3,10,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,1,,,,,9,,,,9436,84.78,65300,175,1851,2591,28
2024,549300HW662MN1WU8550,20940,CA,06025,06025012302,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,3,0,2,2,31,1,2,2,2,255000.0,98.077,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,265000,1,1,3,5,1,NA,NA,NA,9,1,1,11,,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,2,1,1,,,,,5,,,,6288,85.78,65300,79,2373,3472,22
2024,549300HW662MN1WU8550,20940,CA,06025,06025011001,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,3,0,2,2,31,1,2,2,2,375000.0,98.279,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,385000,1,1,3,5,1,NA,NA,NA,2,10,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,2,1,1,,,,,5,9,,,6362,87.25,65300,165,803,1653,21
2024,549300HW662MN1WU8550,20940,CA,06025,06025011902,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,3,0,2,2,31,1,2,2,2,105000.0,28.243,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,375000,1,1,3,5,1,NA,NA,NA,2,10,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,Yes,NA,2,1,6,,,,,5,,,,3927,98.91,65300,82,434,729,18
2024,549300HW662MN1WU8550,20940,CA,06025,06025011802,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,3,0,2,2,31,1,2,2,2,375000.0,100.947,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,375000,1,1,3,5,1,NA,NA,NA,1,10,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,1,6,,,,,5,,,,5245,88.48,65300,105,689,984,44
2024,549300HW662MN1WU8550,20940,CA,06025,06025010500,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,3,0,2,2,31,1,2,2,2,325000.0,97.348,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,335000,1,1,3,5,1,NA,NA,NA,2,10,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,1,1,,,,,5,,,,6714,88.64,65300,114,1056,1892,41
2024,549300HW662MN1WU8550,20940,CA,06025,06025011803,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,0,2,3,32,1,2,2,2,265000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,50,NA,9,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,65-74,65-74,Yes,Yes,2,2,1,2,,,,10,,,,6175,88.24,65300,163,1327,2071,17
2024,549300HW662MN1WU8550,20940,CA,06025,06025010500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,4,0,2,1,1,1,2,2,2,355000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,76,NA,9,9,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,2,1,1,2,,,,10,,,,6714,88.64,65300,114,1056,1892,41
2024,549300HW662MN1WU8550,20940,CA,06025,06025012004,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,4,0,2,1,32,2,2,1,2,45000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,1,2,1,2,2,NA,1,1,3,5,1,NA,78,NA,9,9,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,2,1,6,,,,,10,,,,5935,98.79,65300,106,769,1426,26
2024,549300HW662MN1WU8550,20940,CA,06025,06025010700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,4,0,2,1,1,1,2,2,2,275000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,86,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,2,1,1,2,,,,10,,,,4713,96.48,65300,61,443,1088,33
2024,549300HW662MN1WU8550,20940,CA,06025,06025012101,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,4,0,2,2,1,1,2,2,2,285000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,78,NA,9,9,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,2,1,1,,,,,10,,,,3563,97.5,65300,89,340,962,57
2024,549300HW662MN1WU8550,20940,CA,06025,06025012004,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,4,0,2,1,32,2,2,1,2,65000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,1,2,1,2,2,NA,1,1,3,5,1,NA,76,NA,9,9,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,6,,,,,10,,,,5935,98.79,65300,106,769,1426,26
2024,549300HW662MN1WU8550,20940,CA,06025,06025011500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,4,0,2,1,1,1,2,2,2,215000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,73,NA,9,9,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,2,1,,,,10,,,,6059,95.21,65300,69,377,1364,47
2024,549300HW662MN1WU8550,20940,CA,06025,06025011201,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,4,0,2,1,32,2,2,1,2,75000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,1,2,1,2,2,NA,1,1,3,5,1,NA,78,NA,9,9,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,2,1,6,,,,,10,,,,8254,87.28,65300,160,1314,2115,18
2024,549300HW662MN1WU8550,20940,CA,06025,06025011001,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Native Hawaiian or Other Pacific Islander,Male,4,0,2,3,32,1,2,2,2,285000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,83,NA,9,9,3,,,,,5,,,,,2,4,4,,,,,8,,,,,2,4,1,5,2,4,>74,9999,Yes,NA,2,2,1,,,,,10,,,,6362,87.25,65300,165,803,1653,21
2024,549300HW662MN1WU8550,20940,CA,06025,06025011302,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,4,0,2,2,32,1,2,2,2,375000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,2,NA,97,NA,9,9,1,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,2,5,1,4,<25,9999,No,NA,2,1,2,1,,,,10,,,,1672,93.96,65300,67,361,560,35
2024,549300HW662MN1WU8550,20940,CA,06025,06025010600,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,4,0,2,2,1,1,2,2,2,405000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,93,NA,9,9,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,NA,2,1,1,,,,,10,,,,7985,79.7,65300,166,1364,1857,32
2024,549300HW662MN1WU8550,20940,CA,06025,06025012302,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,4,0,2,2,1,1,2,2,2,225000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,98,NA,9,9,1,,,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,2,1,1,,,,,10,,,,6288,85.78,65300,79,2373,3472,22
2024,549300HW662MN1WU8550,20940,CA,06025,06025010600,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,4,0,2,2,1,1,2,2,2,395000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,111,NA,9,9,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,1,1,,,,,10,,,,7985,79.7,65300,166,1364,1857,32
2024,549300HW662MN1WU8550,20940,CA,06025,06025011201,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,4,0,2,2,1,1,2,2,2,415000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,101,NA,9,9,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,1,,,,,10,,,,8254,87.28,65300,160,1314,2115,18
2024,549300HW662MN1WU8550,20940,CA,06025,06025012302,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,4,0,2,2,1,1,2,2,2,325000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,2,NA,97,NA,9,9,1,,,,,1,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,35-44,No,No,2,1,2,,,,,10,,,,6288,85.78,65300,79,2373,3472,22
2024,549300HW662MN1WU8550,20940,CA,06025,06025012301,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,4,0,2,2,1,1,2,2,2,315000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,108,NA,9,9,1,,,,,1,11,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,25-34,25-34,No,No,2,1,1,,,,,10,,,,4493,85.53,65300,159,280,882,25
2024,549300HW662MN1WU8550,20940,CA,06025,06025011001,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,4,0,2,2,32,1,2,2,2,415000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,96,NA,9,9,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,1,1,2,,,,10,,,,6362,87.25,65300,165,803,1653,21
2024,549300HW662MN1WU8550,20940,CA,06025,06025011002,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,4,0,2,1,1,1,2,2,2,505000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,141,NA,9,9,1,,,,,5,,,,,1,4,5,,,,,8,,,,,1,4,1,5,1,4,35-44,9999,No,NA,2,1,1,2,,,,10,,,,9436,84.78,65300,175,1851,2591,28
2024,549300HW662MN1WU8550,20940,CA,06025,06025011400,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,4,0,2,2,1,1,2,2,2,265000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,117,NA,9,9,1,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,2,1,1,,,,,10,,,,4476,96.98,65300,78,517,1178,49
2024,549300HW662MN1WU8550,20940,CA,06025,06025011803,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,2,1,1,1,2,2,2,435000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,123,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,1,2,,,,10,,,,6175,88.24,65300,163,1327,2071,17
