activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,549300KP95LHU8OP0H40,20940,CA,06025,06025011301,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,9,2,1,32,2,2,2,1,75000.0,50.56530,14.990,NA,3,NA,NA,NA,NA,NA,36,NA,NA,2,1,1,2,385000,1,1,3,5,1,NA,78,<20%,7,7,3,,,,,3,,,,,3,3,6,,,,,6,,,,,3,3,3,3,3,3,65-74,65-74,Yes,Yes,2,1,5,,,,,10,,,,3549,98.08,65300,82,714,1069,26
2024,549300KP95LHU8OP0H40,20940,CA,06025,06025011301,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,9,2,1,32,2,2,2,1,55000.0,34.16640,12.500,NA,3,NA,NA,NA,NA,NA,36,NA,NA,2,1,1,2,405000,1,1,3,5,1,NA,84,<20%,7,10,3,,,,,5,,,,,3,4,6,,,,,8,,,,,3,4,3,5,3,4,55-64,9999,No,NA,2,1,5,,,,,10,,,,3549,98.08,65300,82,714,1069,26
2024,549300KTR1JGH3K6LU06,20940,CA,06025,06025011002,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,3,0,2,1,2,2,2,1,2,45000.0,53.36000,NA,NA,3,NA,NA,NA,NA,NA,240,NA,1,2,1,2,2,335000,1,1,3,5,1,NA,22,>60%,8,10,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,6,,,,,1,4,,,9436,84.78,65300,175,1851,2591,28
2024,549300KTR1JGH3K6LU06,20940,CA,06025,06025011803,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,3,0,2,1,4,2,2,1,2,305000.0,50.85000,NA,NA,3,NA,NA,NA,NA,NA,240,NA,1,2,1,2,2,595000,1,1,3,5,1,NA,68,>60%,8,10,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,6,,,,,1,,,,6175,88.24,65300,163,1327,2071,17
2024,549300PIL8LFAQ04XC20,20940,CA,06025,06025011903,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,4,0,2,1,4,2,2,1,2,75000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,163,NA,9,9,1,11,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,2,6,,,,,10,,,,5400,97.35,65300,140,857,1398,0
2024,549300PIL8LFAQ04XC20,20940,CA,06025,06025940000,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,5,2,1,4,2,2,1,2,25000.0,52.576,10.1,4.377,2,NA,0,NA,NA,NA,240,NA,NA,2,2,2,2,255000,1,1,3,5,1,NA,62,40,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,1,2,6,,,,,10,,,,2698,86.58,65300,72,287,1157,32
2024,549300PIL8LFAQ04XC20,20940,CA,06025,06025011001,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,3,0,2,1,2,2,2,1,2,25000.0,58.952,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,345000,1,1,3,5,1,NA,7,NA,2,2,1,2,,,,11,,,,,2,2,5,,,,,6,,,,,2,2,1,2,2,2,>74,>74,Yes,Yes,1,2,6,,,,,1,4,,,6362,87.25,65300,165,803,1653,21
2024,549300PIL8LFAQ04XC20,20940,CA,06025,06025011803,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Joint,Joint,3,0,2,1,4,2,2,2,2,45000.0,57.151,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,495000,1,1,3,5,1,NA,57,NA,2,2,2,,,,,2,,,,,2,2,3,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,Yes,Yes,2,2,6,,,,,7,,,,6175,88.24,65300,163,1327,2071,17
2024,549300PIL8LFAQ04XC20,20940,CA,06025,06025012201,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,5,2,1,4,2,2,2,2,105000.0,64.348,10.55,NA,2,NA,1260.47,799,,,240,NA,NA,2,2,2,2,275000,1,3,3,5,1,NA,176,47,2,10,11,1,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,2,6,,,,,10,,,,4139,98.77,65300,113,493,1115,31
2024,549300PIL8LFAQ04XC20,20940,CA,06025,06025011801,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,5,2,1,4,2,2,2,2,115000.0,74.481,8.75,NA,2,NA,4476.84,799,,,360,NA,NA,2,2,2,2,635000,1,1,3,5,1,NA,280,20%-<30%,2,2,11,1,,,,11,1,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,45-54,No,No,2,2,6,,,,,10,,,,3982,78.53,65300,211,969,1151,32
